AvgSpotLen	BioSample	Experiment	Library_Name	MBases	MBytes	Organism	Run	SRA_Sample	Sample_Name	isolation_source	Assay_Type	BioProject	BioSampleModel	Center_Name	Consent	DATASTORE_filetype	DATASTORE_provider	InsertSize	Instrument	LibraryLayout	LibrarySelection	LibrarySource	LoadDate	Platform	ReleaseDate	SRA_Study	age	ecotype	geo_loc_name	tissue
199	SAMN10473534	SRX5058489	T13-9-1	4483	2894	Arabidopsis thaliana	SRR8240190	SRS4074638	T13-9-1	T13-9-1	WGS	PRJNA506760	Plant	UNIVERSITY OF NOTTINGHAM	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	2018-11-24	ILLUMINA	2018-11-25	SRP170569	not collected	not collected	Spain:Catalonia	leaf
198	SAMN10473540	SRX5058488	T2-8-3	4884	3209	Arabidopsis thaliana	SRR8240191	SRS4074637	T2-8-3	T2-8-3	WGS	PRJNA506760	Plant	UNIVERSITY OF NOTTINGHAM	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	2018-11-24	ILLUMINA	2018-11-25	SRP170569	not collected	not collected	Spain:Catalonia	leaf
197	SAMN10473544	SRX5058487	T6-1-3	4983	3336	Arabidopsis thaliana	SRR8240192	SRS4074636	T6-1-3	T6-1-3	WGS	PRJNA506760	Plant	UNIVERSITY OF NOTTINGHAM	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	2018-11-24	ILLUMINA	2018-11-25	SRP170569	not collected	not collected	Spain:Catalonia	leaf
198	SAMN10473528	SRX5058486	SFG-6-3	4821	3169	Arabidopsis thaliana	SRR8240193	SRS4074635	SFG-6-3	SFG-6-3	WGS	PRJNA506760	Plant	UNIVERSITY OF NOTTINGHAM	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	2018-11-24	ILLUMINA	2018-11-25	SRP170569	not collected	not collected	Spain:Catalonia	leaf
198	SAMN10473522	SRX5058485	SCF-14-1	4722	3149	Arabidopsis thaliana	SRR8240194	SRS4074634	SCF-14-1	SCF-14-1	WGS	PRJNA506760	Plant	UNIVERSITY OF NOTTINGHAM	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	2018-11-24	ILLUMINA	2018-11-25	SRP170569	not collected	not collected	Spain:Catalonia	leaf
198	SAMN10473551	SRX5058484	V1-19-2	5719	3753	Arabidopsis thaliana	SRR8240195	SRS4074633	V1-19-2	V1-19-2	WGS	PRJNA506760	Plant	UNIVERSITY OF NOTTINGHAM	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	2018-11-24	ILLUMINA	2018-11-25	SRP170569	not collected	not collected	Spain:Catalonia	leaf
198	SAMN10473555	SRX5058483	V3-20-3	5033	3364	Arabidopsis thaliana	SRR8240196	SRS4074632	V3-20-3	V3-20-3	WGS	PRJNA506760	Plant	UNIVERSITY OF NOTTINGHAM	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	2018-11-24	ILLUMINA	2018-11-25	SRP170569	not collected	not collected	Spain:Catalonia	leaf
198	SAMN10473529	SRX5058482	SFG-6-4	4513	2989	Arabidopsis thaliana	SRR8240197	SRS4074631	SFG-6-4	SFG-6-4	WGS	PRJNA506760	Plant	UNIVERSITY OF NOTTINGHAM	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	2018-11-24	ILLUMINA	2018-11-25	SRP170569	not collected	not collected	Spain:Catalonia	leaf
198	SAMN10473556	SRX5058481	V3-20-4	6354	4206	Arabidopsis thaliana	SRR8240198	SRS4074630	V3-20-4	V3-20-4	WGS	PRJNA506760	Plant	UNIVERSITY OF NOTTINGHAM	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	2018-11-24	ILLUMINA	2018-11-25	SRP170569	not collected	not collected	Spain:Catalonia	leaf
198	SAMN10473519	SRX5058480	RO2-5-5	4614	3036	Arabidopsis thaliana	SRR8240199	SRS4074629	RO2-5-5	RO2-5-5	WGS	PRJNA506760	Plant	UNIVERSITY OF NOTTINGHAM	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	2018-11-24	ILLUMINA	2018-11-25	SRP170569	not collected	not collected	Spain:Catalonia	leaf
198	SAMN10473530	SRX5058479	T11-7-1	5339	3445	Arabidopsis thaliana	SRR8240200	SRS4074628	T11-7-1	T11-7-1	WGS	PRJNA506760	Plant	UNIVERSITY OF NOTTINGHAM	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	2018-11-24	ILLUMINA	2018-11-25	SRP170569	not collected	not collected	Spain:Catalonia	leaf
197	SAMN10473545	SRX5058478	T6-1-4	4605	3066	Arabidopsis thaliana	SRR8240201	SRS4074627	T6-1-4	T6-1-4	WGS	PRJNA506760	Plant	UNIVERSITY OF NOTTINGHAM	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	2018-11-24	ILLUMINA	2018-11-25	SRP170569	not collected	not collected	Spain:Catalonia	leaf
198	SAMN10473518	SRX5058477	RO2-5-2	4399	2902	Arabidopsis thaliana	SRR8240202	SRS4074626	RO2-5-2	RO2-5-2	WGS	PRJNA506760	Plant	UNIVERSITY OF NOTTINGHAM	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	2018-11-24	ILLUMINA	2018-11-25	SRP170569	not collected	not collected	Spain:Catalonia	leaf
199	SAMN10473535	SRX5058476	T13-9-2	4459	2876	Arabidopsis thaliana	SRR8240203	SRS4074625	T13-9-2	T13-9-2	WGS	PRJNA506760	Plant	UNIVERSITY OF NOTTINGHAM	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	2018-11-24	ILLUMINA	2018-11-25	SRP170569	not collected	not collected	Spain:Catalonia	leaf
198	SAMN10473517	SRX5058475	PO1-4-4	4374	2925	Arabidopsis thaliana	SRR8240204	SRS4074624	PO1-4-4	PO1-4-4	WGS	PRJNA506760	Plant	UNIVERSITY OF NOTTINGHAM	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	2018-11-24	ILLUMINA	2018-11-25	SRP170569	not collected	not collected	Spain:Catalonia	leaf
198	SAMN10473531	SRX5058474	T11-7-2	4937	3208	Arabidopsis thaliana	SRR8240205	SRS4074623	T11-7-2	T11-7-2	WGS	PRJNA506760	Plant	UNIVERSITY OF NOTTINGHAM	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	2018-11-24	ILLUMINA	2018-11-25	SRP170569	not collected	not collected	Spain:Catalonia	leaf
198	SAMN10473532	SRX5058473	T11-7-3	4627	3041	Arabidopsis thaliana	SRR8240206	SRS4074622	T11-7-3	T11-7-3	WGS	PRJNA506760	Plant	UNIVERSITY OF NOTTINGHAM	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	2018-11-24	ILLUMINA	2018-11-25	SRP170569	not collected	not collected	Spain:Catalonia	leaf
198	SAMN10473533	SRX5058472	T11-7-4	4608	3033	Arabidopsis thaliana	SRR8240207	SRS4074621	T11-7-4	T11-7-4	WGS	PRJNA506760	Plant	UNIVERSITY OF NOTTINGHAM	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	2018-11-24	ILLUMINA	2018-11-25	SRP170569	not collected	not collected	Spain:Catalonia	leaf
198	SAMN10473523	SRX5058471	SCF-14-2	5625	3774	Arabidopsis thaliana	SRR8240208	SRS4074620	SCF-14-2	SCF-14-2	WGS	PRJNA506760	Plant	UNIVERSITY OF NOTTINGHAM	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	2018-11-24	ILLUMINA	2018-11-25	SRP170569	not collected	not collected	Spain:Catalonia	leaf
198	SAMN10473527	SRX5058470	SFG-6-2	4761	3124	Arabidopsis thaliana	SRR8240209	SRS4074619	SFG-6-2	SFG-6-2	WGS	PRJNA506760	Plant	UNIVERSITY OF NOTTINGHAM	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	2018-11-24	ILLUMINA	2018-11-25	SRP170569	not collected	not collected	Spain:Catalonia	leaf
198	SAMN10473514	SRX5058469	PO1-4-1	4325	2833	Arabidopsis croatica	SRR8240210	SRS4074618	PO1-4-1	PO1-4-1	WGS	PRJNA506760	Plant	UNIVERSITY OF NOTTINGHAM	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	2018-11-24	ILLUMINA	2018-11-25	SRP170569	not collected	not collected	Spain:Catalonia	leaf
198	SAMN10473515	SRX5058468	PO1-4-2	4496	2946	Arabidopsis croatica	SRR8240211	SRS4074617	PO1-4-2	PO1-4-2	WGS	PRJNA506760	Plant	UNIVERSITY OF NOTTINGHAM	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	2018-11-24	ILLUMINA	2018-11-25	SRP170569	not collected	not collected	Spain:Catalonia	leaf
198	SAMN10473512	SRX5058467	PA10-3-3	4228	2751	Arabidopsis thaliana	SRR8240212	SRS4074616	PA10-3-3	PA10-3-3	WGS	PRJNA506760	Plant	UNIVERSITY OF NOTTINGHAM	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	2018-11-24	ILLUMINA	2018-11-25	SRP170569	not collected	not collected	Spain:Catalonia	leaf
199	SAMN10473513	SRX5058466	PA10-3-4	5071	3259	Arabidopsis croatica	SRR8240213	SRS4074615	PA10-3-4	PA10-3-4	WGS	PRJNA506760	Plant	UNIVERSITY OF NOTTINGHAM	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	2018-11-24	ILLUMINA	2018-11-25	SRP170569	not collected	not collected	Spain:Catalonia	leaf
198	SAMN10473510	SRX5058465	PA10-3-1	6139	3984	Arabidopsis thaliana	SRR8240214	SRS4074614	PA10-3-1	PA10-3-1	WGS	PRJNA506760	Plant	UNIVERSITY OF NOTTINGHAM	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	2018-11-24	ILLUMINA	2018-11-25	SRP170569	not collected	not collected	Spain:Catalonia	leaf
199	SAMN10473511	SRX5058464	PA10-3-2	4621	2980	Arabidopsis thaliana	SRR8240215	SRS4074613	PA10-3-2	PA10-3-2	WGS	PRJNA506760	Plant	UNIVERSITY OF NOTTINGHAM	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	2018-11-24	ILLUMINA	2018-11-25	SRP170569	not collected	not collected	Spain:Catalonia	leaf
198	SAMN10473508	SRX5058463	O3-18-5	5667	3780	Arabidopsis thaliana	SRR8240216	SRS4074612	O3-18-5	O3-18-5	WGS	PRJNA506760	Plant	UNIVERSITY OF NOTTINGHAM	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	2018-11-24	ILLUMINA	2018-11-25	SRP170569	not collected	not collected	Spain:Catalonia	leaf
