sra_run	biosample	bioproject	instrument_model	library_layout	oa_id
SRR1945652	SAMN03326496	PRJNA273563	Illumina Genome Analyzer IIx	PAIRED	OAKG6102
SRR1945653	SAMN03326497	PRJNA273563	Illumina Genome Analyzer IIx	PAIRED	OAKG6104
SRR1945654	SAMN03326498	PRJNA273563	Illumina HiSeq 2000	PAIRED	OAKG6105
SRR1945655	SAMN03326499	PRJNA273563	Illumina Genome Analyzer IIx	PAIRED	OAKG6106
SRR1945656	SAMN03326500	PRJNA273563	Illumina Genome Analyzer IIx	PAIRED	OAKG6107
SRR1945657	SAMN03326501	PRJNA273563	Illumina Genome Analyzer IIx	PAIRED	OAKG6108
SRR1945658	SAMN03326502	PRJNA273563	Illumina HiSeq 2000	PAIRED	OAKG6109
SRR1945659	SAMN03326503	PRJNA273563	Illumina Genome Analyzer IIx	PAIRED	OAKG6111
SRR1945660	SAMN03326504	PRJNA273563	Illumina Genome Analyzer IIx	PAIRED	OAKG6112
SRR1945661	SAMN03326505	PRJNA273563	Illumina Genome Analyzer IIx	PAIRED	OAKG6113
SRR1945662	SAMN03326506	PRJNA273563	Illumina Genome Analyzer IIx	PAIRED	OAKG6114
SRR1945663	SAMN03326507	PRJNA273563	Illumina HiSeq 2000	PAIRED	OAKG6115
SRR1945664	SAMN03326508	PRJNA273563	Illumina HiSeq 2000	PAIRED	OAKG6118
SRR1945665	SAMN03326509	PRJNA273563	Illumina HiSeq 2000	PAIRED	OAKG6119
SRR1945666	SAMN03326510	PRJNA273563	Illumina HiSeq 2000	PAIRED	OAKG6122
SRR1945667	SAMN03326511	PRJNA273563	Illumina HiSeq 2000	PAIRED	OAKG6123
SRR1945668	SAMN03326512	PRJNA273563	Illumina HiSeq 2000	PAIRED	OAKG6124
SRR1945669	SAMN03326513	PRJNA273563	Illumina Genome Analyzer IIx	PAIRED	OAKG6125
SRR1945670	SAMN03326514	PRJNA273563	Illumina Genome Analyzer IIx	PAIRED	OAKG6126
SRR1945671	SAMN03326515	PRJNA273563	Illumina Genome Analyzer IIx	PAIRED	OAKG6128
SRR1945672	SAMN03326516	PRJNA273563	Illumina Genome Analyzer IIx	PAIRED	OAKG6131
SRR1945673	SAMN03326517	PRJNA273563	Illumina Genome Analyzer IIx	PAIRED	OAKG6132
SRR1945674	SAMN03326518	PRJNA273563	Illumina Genome Analyzer IIx	PAIRED	OAKG6133
SRR1945675	SAMN03326519	PRJNA273563	Illumina Genome Analyzer IIx	PAIRED	OAKG6134
SRR1945676	SAMN03326520	PRJNA273563	Illumina Genome Analyzer IIx	PAIRED	OAKG6136
SRR1945677	SAMN03326521	PRJNA273563	Illumina Genome Analyzer IIx	PAIRED	OAKG6137
SRR1945678	SAMN03326522	PRJNA273563	Illumina Genome Analyzer IIx	PAIRED	OAKG6138
SRR1945679	SAMN03326523	PRJNA273563	Illumina Genome Analyzer IIx	PAIRED	OAKG6140
SRR1945680	SAMN03326524	PRJNA273563	Illumina Genome Analyzer IIx	PAIRED	OAKG6141
SRR1945681	SAMN03326525	PRJNA273563	Illumina Genome Analyzer IIx	PAIRED	OAKG6142
SRR1945682	SAMN03326526	PRJNA273563	Illumina Genome Analyzer IIx	PAIRED	OAKG6145
SRR1945683	SAMN03326527	PRJNA273563	Illumina Genome Analyzer IIx	PAIRED	OAKG6148
SRR1945684	SAMN03326528	PRJNA273563	Illumina HiSeq 2000	PAIRED	OAKG6149
SRR1945685	SAMN03326529	PRJNA273563	Illumina Genome Analyzer IIx	PAIRED	OAKG6150
