oa_id	dataset	ecotype_id	sample_name	biosample	species	latitude	longitude	elevation	locality	country	country_code	collector	collection_date	collection_notes	cs_number	ploidy	internal_data	pooled_plants
OAKG1954	KG	1954	MNF-Jac-12	SAMN03326362	Arabidopsis thaliana	43.5187	-86.1739		MNF-Jack	USA	USA	Diane Byers	2004-06-05 0:00:00		CS77097			
OAKG2016	KG	2016	MNF-Pin-39	SAMN03326363	Arabidopsis thaliana	43.5356	-86.1788		MNF-Pine	USA	USA	Diane Byers	2004-06-05 0:00:00		CS77098			
OAKG2017	KG	2017	MNF-Pin-40	SAMN03326364	Arabidopsis thaliana	43.5356	-86.1788		MNF-Pine	USA	USA	Diane Byers	2004-06-05 0:00:00		CS78982			
OAKG2031	KG	2031	Map-8	SAMN03326365	Arabidopsis thaliana	42.166	-86.412		Map	USA	USA	Diane Byers	2002-05-01 0:00:00		CS78983			
OAKG2053	KG	2053	Map-35	SAMN03326366	Arabidopsis thaliana	42.166	-86.412		Map	USA	USA	Diane Byers	2002-05-01 0:00:00		CS78984			
OAKG2057	KG	2057	Map-42	SAMN03326367	Arabidopsis thaliana	42.166	-86.412		Map	USA	USA	Diane Byers	2002-05-01 0:00:00		CS77732			
OAKG2081	KG	2081	MuskSP-68	SAMN03326368	Arabidopsis thaliana	43.2483	-86.3368		MuskSP	USA	USA	Diane Byers	2004-06-04 0:00:00		CS78985			
OAKG2091	KG	2091	MuskSP-83	SAMN03326369	Arabidopsis thaliana	43.2483	-86.3368		MuskSP	USA	USA	Diane Byers	2004-06-04 0:00:00		CS78986			
OAKG2106	KG	2106	MSGA-10	SAMN03326370	Arabidopsis thaliana	43.2749	-86.0891		MSGA	USA	USA	Diane Byers	2004-06-04 0:00:00		CS78987			
OAKG2108	KG	2108	MSGA-12	SAMN03326371	Arabidopsis thaliana	43.2749	-86.0891		MSGA	USA	USA	Diane Byers	2004-06-04 0:00:00		CS78988			
OAKG2141	KG	2141	MSGA-61	SAMN03326372	Arabidopsis thaliana	43.2749	-86.0891		MSGA	USA	USA	Diane Byers	2004-06-04 0:00:00		CS78989			
OAKG2159	KG	2159	Paw-13	SAMN03326373	Arabidopsis thaliana	42.148	-86.431		Paw	USA	USA	Diane Byers	2002-05-01 0:00:00		CS78990			
