library	run	sample	include	is_sra
SRR1945768	PRJNA273563	OAKG6926	Y	Y
SRR1945769	PRJNA273563	OAKG6927	Y	Y
SRR1945770	PRJNA273563	OAKG6929	Y	Y
SRR1945771	PRJNA273563	OAKG6931	Y	Y
SRR1945772	PRJNA273563	OAKG6932	Y	Y
SRR1945773	PRJNA273563	OAKG6933	Y	Y
SRR1945774	PRJNA273563	OAKG6938	Y	Y
SRR1945775	PRJNA273563	OAKG6940	Y	Y
SRR1945776	PRJNA273563	OAKG6943	Y	Y
SRR1945777	PRJNA273563	OAKG6944	Y	Y
SRR1945778	PRJNA273563	OAKG6945	Y	Y
SRR1945779	PRJNA273563	OAKG6951	Y	Y
SRR1945780	PRJNA273563	OAKG6956	Y	Y
SRR1945781	PRJNA273563	OAKG6957	Y	Y
SRR1945782	PRJNA273563	OAKG6958	Y	Y
SRR1945783	PRJNA273563	OAKG6959	Y	Y
SRR1945784	PRJNA273563	OAKG6960	Y	Y
SRR1945785	PRJNA273563	OAKG6961	Y	Y
SRR1945786	PRJNA273563	OAKG6963	Y	Y
SRR1945787	PRJNA273563	OAKG6966	Y	Y
SRR1945788	PRJNA273563	OAKG6967	Y	Y
SRR1945789	PRJNA273563	OAKG6968	Y	Y
SRR1945790	PRJNA273563	OAKG6969	Y	Y
SRR1945791	PRJNA273563	OAKG6970	Y	Y
SRR1945792	PRJNA273563	OAKG6971	Y	Y
SRR1945793	PRJNA273563	OAKG6973	Y	Y
SRR1945794	PRJNA273563	OAKG6974	Y	Y
SRR1945795	PRJNA273563	OAKG6975	Y	Y
SRR1945796	PRJNA273563	OAKG6976	Y	Y
SRR1945797	PRJNA273563	OAKG6979	Y	Y
SRR1945798	PRJNA273563	OAKG6981	Y	Y
SRR1945799	PRJNA273563	OAKG6982	Y	Y
SRR1945800	PRJNA273563	OAKG6984	Y	Y
SRR1945801	PRJNA273563	OAKG6986	Y	Y
SRR1945802	PRJNA273563	OAKG6987	Y	Y
SRR1945803	PRJNA273563	OAKG6989	Y	Y
SRR1945804	PRJNA273563	OAKG6990	Y	Y
SRR1945805	PRJNA273563	OAKG6992	Y	Y
SRR1945806	PRJNA273563	OAKG6997	Y	Y
SRR1945807	PRJNA273563	OAKG7000	Y	Y
SRR1945808	PRJNA273563	OAKG7002	Y	Y
SRR1945809	PRJNA273563	OAKG7003	Y	Y
SRR1945810	PRJNA273563	OAKG7008	Y	Y
SRR1945811	PRJNA273563	OAKG7013	Y	Y
SRR1945812	PRJNA273563	OAKG7014	Y	Y
SRR1945813	PRJNA273563	OAKG7025	Y	Y
SRR1945814	PRJNA273563	OAKG7026	Y	Y
SRR1945815	PRJNA273563	OAKG7028	Y	Y
SRR1945816	PRJNA273563	OAKG7031	Y	Y
SRR1945817	PRJNA273563	OAKG7033	Y	Y
SRR1945818	PRJNA273563	OAKG7036	Y	Y
SRR1945819	PRJNA273563	OAKG7058	Y	Y
SRR1945820	PRJNA273563	OAKG7061	Y	Y
SRR1945821	PRJNA273563	OAKG7062	Y	Y
SRR1945822	PRJNA273563	OAKG7063	Y	Y
